3034786783,2268558112,3016185509,3558481237,3345838201,1602988657,2860486821,2166514879,1682949656,3358220399,1222721761,2219240725,3180984,3664682025,760795765,3962981509,403000470,266687722,3937211837,299970683,103264048,300073536,1468795992,3833768612
2341414392,3718200098,1018462958,4202487755,4143457054,3432478263,2877098628,3554143749,1864435968,2831136502,1222633173,3345955695,4287703083,4153174011,99475854,779143622,1911003756,363509283,4250189466,2580350470,577117648,2198954122,3211887912,2873529709
3037792399,2782614436,3749620087,3707942515,1659011534,603467451,3741862882,3203475981,1505108260,302829915,3455693482,809994366,3410661550,2236120496,519703565,217305874,2608044488,374950439,3729740423,552078167,867170577,964293741,2238879958,2049703706
2307043440,3391020278,921377896,1535461089,2591652188,1876776997,3548954253,2742696418,1210113438,2476526559,2142076695,3285691653,2240337380,28988898,1725170899,3956852263,824053273,4279483434,2321438670,2948825445,1564129900,2677752053,2284071252,1450637596
316763839,1853992692,2860203241,2256156510,1965583430,208136057,3432160937,2491670167,485869702,3245306608,4587385,1778598945,4020096701,1315036584,4261094838,1659234921,2891371112,575862060,1123977469,1986378525,3242787395,757567818,1586864939,43668265
816605711,3339796573,2642860474,1619904446,2351032264,609930992,3861826109,1911999513,282029313,2768383873,1428178016,2271543320,3507498376,1247085805,117956879,463831736,3974396266,988185681,364773239,869741367,3875737844,287655179,3755676421,855471378
2867400630,1581381223,2827422469,1004545907,2063675952,4029922185,501702669,3433372482,1481132438,803108760,3953383528,3269551724,3467646277,1013914114,48374675,3024396160,1842727387,270447987,1173916746,4086606409,2551044659,1271059416,3481192075,1656556245
2287879518,3336453778,3336352369,638259424,2838655346,2984341468,2480459946,1160330288,659399618,3234114088,3161334348,187526454,1713102650,541388144,112837733,2943915280,4268928264,1227894260,3612541250,529188380,321645719,1375055662,30580848,1292338677
3140865245,2632497595,4258273657,3429158641,1112787966,3437920817,2609666758,2903748566,3011685582,417471519,87983415,689905585,852949704,3047057938,1565689451,3158137646,357964204,3645070294,3660205629,1267030333,671553908,190627705,364256971,1911984904
1911033928,1618664563,1452596222,3884067051,594201040,2393529552,4100565963,4033870290,4160566494,1202567873,1906372188,2146979347,1449080702,1429643361,1804786143,2191013610,109357054,4216462095,3377608384,1076875733,2150013419,997484902,121747372,772576401
2962018117,2350957456,3179323418,2189387391,3583073992,4137403802,2851016877,3163844480,1570033739,1843233590,1331284680,3263100322,4233153133,1897653265,4025962279,759494066,3182967305,2812955416,289113800,663553724,1300732478,2961890169,3186661096,3124146190
1937592992,1673243907,2665756981,2862735139,1896698938,2537149143,2408543230,3638815310,2434938932,1812183648,404067189,3088929029,4120141244,3225850075,1648916200,3723041956,3317168702,282054342,2315451876,1611352010,2213308775,3290301662,3912291638,2860617555
2129801247,3949348843,3448914524,3819982756,1910245063,1550454351,1314787906,307465297,2806990674,3108610288,1970070177,1691371737,3652161406,2104001947,2630031448,3325743402,3168870727,4119732061,2297064835,3625088112,1390132714,2381841026,2903030655,1188420632
2741484696,2204880617,2484032719,1991694069,1395928940,1494988190,3949437827,3580593431,1264342539,543658682,4038250592,623820678,2576391361,1090217884,2407955923,347823042,4207455516,1676241888,3435082121,2126480518,785563113,1195201891,2476484720,980160719
260911170,155755956,3942634203,3876809293,344467162,1516848066,3470484774,3080588477,2944784584,2360721480,2450816622,2537610579,2451122153,3439350578,494681519,1919028252,2417657178,1078392749,1673067815,438089060,4030744440,3569795366,919675475,2387916217
